"filename"	"CT_General"	"CT_Subtype"	"BTO"	"factor"	"factorGeneID"	"GSE"	"GSM"	"exp_type"
"Gata3_GSM523228_Th17_T-Cells"	"T-Cells"	"[PC] Th17"	""	"Gata3"	14462	"GSE20898"	"GSM523228"	"tf"
"Gata3_GSM523229_iTreg_T-Cells"	"T-Cells"	"[PC] iTreg"	"BTO:0004520"	"Gata3"	14462	"GSE20898"	"GSM523229"	"tf"
"Gata3_GSM523230_nTreg_T-Cells"	"T-Cells"	"[PC] nTreg"	"BTO:0004520"	"Gata3"	14462	"GSE20898"	"GSM523230"	"tf"
"Gata3_GSM523231_NKT_T-Cells"	"T-Cells"	"[PC] NKT"	""	"Gata3"	14462	"GSE20898"	"GSM523231"	"tf"
"Gata3_GSM774295_FLDN1_T-Cells"	"T-Cells"	"[PC] FLDN1"	""	"Gata3"	14462	"GSE31235"	"GSM774295 "	"tf"
"Gata3_GSM774296_FLDN2b_T-Cells"	"T-Cells"	"[PC] FLDN2b"	""	"Gata3"	14462	"GSE31235"	"GSM774296"	"tf"
"Gata3_GSM774297_ThyDP_T-Cells"	"T-Cells"	"[PC] Thy DP (TCRa -/-)"	""	"Gata3"	14462	"GSE31235"	"GSM774297"	"tf"
"PU1_GSM774291_FLDN1_T-Cells"	"T-Cells"	"[PC] FLDN1"	""	"Sfpi1"	20375	"GSE31235"	"GSM774291"	"tf"
"PU1_GSM774292_FLDN2a_T-Cells"	"T-Cells"	"[PC] FLDN2a"	""	"Sfpi1"	20375	"GSE31235"	"GSM774292"	"tf"
"PU1_GSM774293_FLDN2b_T-Cells"	"T-Cells"	"[PC] FLDN2b"	""	"Sfpi1"	20375	"GSE31235"	"GSM774293"	"tf"
"Stat3_GSM540722_Th17_T-Cells"	"T-Cells"	"[PC] Th17"	""	"pStat3"	20848	"GSE21669 "	"GSM540722"	"tf"
"Stat3_GSM652877_Il6_T-Cells"	"T-Cells"	"[PC] Th17"	""	"Stat3"	20848	"GSE26552"	"GSM652877"	"tf"
"Stat4_GSM550303_Th1_T-Cells"	"T-Cells"	"[PC] Th1"	"BTO:0001678"	"Stat4"	20849	"GSE22104"	"GSM550303"	"tf"
"Stat5_GSM652878_Il2_T-Cells"	"T-Cells"	"[PC] Th17"	""	"Stat5a/b"	20850	"GSE26552"	"GSM652878"	"tf"
"Stat5a_GSM310071_8hr_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Stat5a"	20850	"GSE12346"	"GSM310071"	"tf"
"Stat5a_GSM310074_13hr_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Stat5a"	20850	"GSE12346"	"GSM310074"	"tf"
"Stat5a_GSM310077_2rounds_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Stat5a"	20850	"GSE12346"	"GSM310077"	"tf"
"Stat5a_GSM904760_WT-IL2_T-Cells"	"T-Cells"	"[PC] Splenic T cells"	""	"Stat5a"	20850	"GSE36882"	"GSM904760"	"tf"
